"2026-02-03T12:47:56.550","Mod 5_day_Check","Symbol","Cmp","%ch5","Lch5","Sl","Target","5d_high","R_vol","Forward pe","Pe","Rsi","Sector","Industry","Adx","%ch y_low","Srs","Ars","Srs y","Ars y","Lc","Low","%ch sl","%ch sl atr","Atr%","%ch_3low","Column26"
"2026-02-03T12:47:56.550","About to","INDSWFTLAB","109.80","1.06","7.94","-3.90","108","108.99","108.14","0.513","23.46","2.98","66.77","58.13","healthcare","pharmaceuticals - indian - bulk drugs & formln","30.62","-1.58","-0.035","0.360","-0.060","0.328","1.67"
"2026-02-03T12:47:56.550","About to","MMFL","431.50","6.90","20.28","-4.33","415.10","399.80","409.43","0.759","31.45","20.39","46.84","65.21","industrials","castings & forgings","40.39","-4.43","-0.033","0.035","-0.011","0.083","3.95"
"2026-02-03T12:47:56.550","About to","INDUSTOWER","444.05","2.84","9.40","-0.460","425.40","419.60","450.10","0.933","15.93","12.17","43.99","63.53","telecom","transmisson line towers / equipment","29.22","0.097","-0.033","0.008","-0.045","0.025","4.38"
"2026-02-03T12:47:56.550","About to","JINDALSTEL","1148.60","2.09","10.06","-0.395","1135","1079.77","1193.10","0.476","153.56","57.61","56.34","62.99","metals & mining","steel - large","19.59","1.15","-0.020","0.090","-0.017","0.104","1.20"
"2026-02-03T12:47:56.550","About to","NMDC","82.38","1.15","11.38","0.079","81","78.40","86.00","0.507","10.67","10.19","38.14","58.21","metals & mining","mining / minerals / metals","18.89","0.025","-0.018","0.054","-0.017","0.081","1.70"
"2026-02-03T12:47:56.550","About to","COMMOIETF","98.64","2.48","9.60","-1.13","97.83","95.63","97.17","3.35","NaN","0","45.80","61.25","n/a","indices","26.92","-1.95","-0.015","0.052","-0.025","0.065","0.828"
"2026-02-03T12:47:56.550","About to","ICICIB22","120.63","1.72","7.35","-0.061","118.70","116.14","122.26","1.00","NaN","0","42.38","64.88","indices","indices","28.18","-0.616","-0.012","0.032","-0.021","0.046","1.63"
"2026-02-03T12:47:56.550","About to","KINGFA","4352.10","2.15","13.21","-3.17","4214.70","4037.21","4595.94","0.344","33.11","33.60","31.49","53.97","plastic products","plastics products","22.62","-1.62","-0.002","0.174","0.026","0.232","3.26"
"2026-02-03T12:47:56.550","About to","INDUSINDBK","931.50","2.33","7.52","-4.63","916.35","900.54","924.82","2.01","142.00","-34.85","50.88","61.51","bank","banks - private sector","30.13","-2.08","-0.002","0.104","-0.027","0.118","1.65"
"2026-02-03T12:47:56.550","About to","GNA","402.05","13.21","24.03","-2.67","385.30","346.12","368.70","3.76","13.83","14.52","53.28","72.27","auto","auto ancillaries","28.94","-2.78","0.008","-0.005","-0.070","-0.000","4.35"
"2026-02-03T12:47:56.550","About to","JSL","805.15","0.075","12.07","-2.11","798.40","758.96","872.94","0.399","20.01","22.53","37.33","54.52","metals & mining","steel - large","17.97","1.43","0.047","0.103","0.042","0.121","0.845"
"2026-02-03T12:47:56.550","About to","JSWSTEEL","1238.60","3.29","6.41","0.248","1212.80","1196.75","1202.88","0.581","35.35","39.29","53.46","64.47","metals & mining","steel - large","19.56","-1.79","0.050","0.143","0.048","0.159","2.13"
