Timestamp,Symbol ,From52wh ,3d range ,5d ,Sector ,Industry ,Free float 
2026-02-05T16:49:39.224,GRAPHITE,9.06,5.13,11.92,industrials,electrodes - graphites,4218.37
2026-02-05T16:49:39.224,SANGAMIND,9.2,12.69,19.06,textiles,textiles - spinning - synthetic / blended,708.9
2026-02-05T16:49:39.224,STYLAMIND,9.26,4.81,5.0,building materials,miscellaneous,1786.6
2026-02-05T16:49:39.224,KTKBANK,9.27,10.79,15.26,bank,banks - private sector,7561.29
2026-02-05T16:49:39.224,SMCGLOBAL,9.3,18.43,24.55,financials,finance & investments,599.0
2026-02-05T16:49:39.224,CEIGALL,9.51,8.01,8.61,realty,construction,900.23
2026-02-05T16:49:39.224,MUFIN,9.63,6.65,8.85,financials,finance & investments,907.6
2026-02-05T16:49:39.224,UNIPARTS,9.72,8.7,20.48,industrials,engineering,756.06
2026-02-05T16:49:39.224,SUPRAJIT,9.83,4.94,12.66,auto,auto ancillaries,3512.13
2026-02-05T16:49:39.224,EQUITASBNK,9.9,9.42,9.42,bank,banks - private sector,7543.58
2026-02-05T16:49:39.224,RICOAUTO,10.17,11.37,18.81,auto,auto ancillaries,859.48
2026-02-05T16:49:39.224,APEX,10.25,22.69,42.3,fmcg,aquaculture,309.08
2026-02-05T16:49:39.224,WHEELS,10.35,10.92,16.82,auto,auto ancillaries,893.56
2026-02-05T16:49:39.224,PRECWIRE,10.45,7.64,14.88,metals & mining,mining / minerals / metals,1968.51
2026-02-05T16:49:39.224,GAEL,10.7,10.62,13.8,fmcg,miscellaneous,2129.62
2026-02-05T16:49:39.224,SHRIPISTON,10.84,17.35,22.3,auto,auto ancillaries,7526.42
2026-02-05T16:49:39.224,GPIL,11.39,5.56,9.28,metals & mining,steel - medium / small,6283.69
2026-02-05T16:49:39.224,KMEW,11.43,8.4,15.23,transportation,miscellaneous,1966.84
2026-02-05T16:49:39.224,NGLFINE,11.84,47.14,65.54,healthcare,pharmaceuticals - indian - bulk drugs,382.37
2026-02-05T16:49:39.224,MANGLMCEM,12.18,3.23,5.42,building materials,cement - north india,1286.49
2026-02-05T16:49:39.224,CARYSIL,12.3,16.11,39.33,consumer discretionary,domestic appliances,1568.55
2026-02-05T16:49:39.224,DBOL,12.43,7.52,11.52,fmcg,sugar,330.63
2026-02-05T16:49:39.224,CEATLTD,12.62,5.13,8.93,auto,tyres,8281.56
2026-02-05T16:49:39.224,RATNAVEER,12.63,10.28,15.12,metals & mining,steel - medium / small,602.16
2026-02-05T16:49:39.224,ROSSTECH,12.63,21.78,28.82,aerospace & defence,engineering,697.08
2026-02-05T16:49:39.224,GREENLAM,12.66,5.86,9.57,building materials,miscellaneous,3251.59
2026-02-05T16:49:39.224,REPCOHOME,12.67,6.81,9.0,financials,finance - housing,1595.26
2026-02-05T16:49:39.224,BHAGYANGR,12.8,10.86,13.06,power & utilities,power generation and supply,187.78
2026-02-05T16:49:39.224,METROPOLIS,12.84,10.19,11.15,healthcare,healthcare,5225.94
2026-02-05T16:49:39.224,EDELWEISS,13.07,4.96,12.13,financials,finance & investments,6839.61
2026-02-05T16:49:39.224,RISHABH,13.47,12.01,17.71,industrials,electric equipment,494.72
2026-02-05T16:49:39.224,MIRZAINT,14.22,13.77,16.4,consumer discretionary,leather / leather products,142.92
2026-02-05T16:49:39.224,RAJRATAN,14.26,13.52,18.75,metals & mining,steel - medium / small,819.48
2026-02-05T16:49:39.224,GOODLUCK,14.61,7.18,14.2,metals & mining,steel - medium / small,1667.49
2026-02-05T16:49:39.224,BSOFT,14.99,9.17,13.97,i.t,computers - software - medium / small,7635.2
2026-02-05T16:49:39.224,GVPIL,15.14,13.83,22.24,realty,engineering - turnkey services,706.33
2026-02-05T16:49:39.224,ADOR,15.83,5.51,6.76,industrials,electrodes - welding equipment,853.99
2026-02-05T16:49:39.224,SABTNL,15.85,18.77,26.93,media,entertainment / electronic media software,1961.29
2026-02-05T16:49:39.224,AARVI,16.12,4.6,9.54,miscellaneous,miscellaneous,49.99
2026-02-05T16:49:39.224,SHREERAMA,16.56,15.56,16.97,industrials,packaging,308.1
