Timestamp,Date,4.5r Sort table by 4.5r in ascending order,4.5chg Sort table by 4.5chg in ascending order,20r Sort table by 20r in ascending order,20chg Sort table by 20chg in ascending order,50r Sort table by 50r in ascending order,50chg Sort table by 50chg in ascending order,52wh Sort table by 52wh in ascending order,52wl Sort table by 52wl in ascending order,>4.5+ Sort table by >4.5+ in ascending order,<4.5- Sort table by <4.5- in ascending order,>10sma Sort table by >10sma in ascending order,<10sma Sort table by <10sma in ascending order,>20sma Sort table by >20sma in ascending order,<20sma Sort table by <20sma in ascending order,>50sma Sort table by >50sma in ascending order,<50sma Sort table by <50sma in ascending order,>200sma Sort table by >200sma in ascending order,<200sma Sort table by <200sma in ascending order,Total stocks Sort table by Total stocks in ascending order,Column22
2026-02-05T15:35:49.178,1st Dec,150.85,-27.30,53.07,-5.15,55.47,-0.808,3.49,3.41,3.41,2.26,41.64,57.44,34.16,64.38,34.62,62.42,40.91,51.07,2608,
2026-02-05T15:35:49.178,28th Nov,250,20.13,55.54,2.44,55.21,4.29,1.90,2.48,3.10,1.24,41.80,57.35,35.21,63.40,34.51,62.50,40.95,50.91,2579,
2026-02-05T15:35:49.178,27th Nov,211.11,-54.35,54.34,2.15,53.15,-4.12,2.87,1.71,2.95,1.40,39.42,59.61,34.73,63.91,33.64,63.29,41.63,50.19,2580,
2026-02-05T15:35:49.178,26th Nov,462.50,89.20,53.19,50.45,55.44,23.47,1.63,2.25,4.31,0.932,38.99,60.19,34.29,64.47,34.64,62.49,41.83,50.10,2575,
2026-02-05T15:35:49.178,25th Nov,240.54,729.62,35.27,8.57,44.79,3.33,1.01,5.71,3.46,1.44,20.59,78.55,25.76,73.04,30.07,67.13,39.32,52.64,2574,
2026-02-05T15:35:49.178,24th Nov,29.38,-64.41,32.97,-24.17,43.84,-14.69,1.20,7.29,2.01,6.83,18.90,80.25,24.54,74.42,29.63,67.59,38.85,53.20,2592,
2026-02-05T15:35:49.178,21st Nov,81.36,-43.79,42.87,-23.47,50.85,-19.36,0.896,4.67,1.87,2.30,25.39,73.87,29.71,69.31,32.79,64.49,41.36,50.74,2568,
2026-02-05T15:35:49.178,20th Nov,144.74,28.13,56.04,-2.52,63.19,-1.14,2.88,3.46,2.14,1.48,37.06,62.16,35.58,63.49,37.68,59.63,43.75,48.38,2569,
2026-02-05T15:35:49.178,19th Nov,112.96,17.23,57.43,1.89,63.85,-0.838,2.07,3.55,2.38,2.10,38.97,60.21,36.17,62.98,37.92,59.39,44.08,48.13,2566,
2026-02-05T15:35:49.178,18th Nov,96.36,-45.74,56.42,-25.58,64.45,-11.04,2.11,3.35,2.07,2.14,38.56,60.66,35.79,63.43,38.17,59.22,44.02,48.19,2565,
2026-02-05T15:35:49.178,17th Nov,170.83,0.792,76.24,11.53,72.89,6.90,3.63,3.05,4.76,2.78,46.52,52.75,42.92,56.30,41.07,56.34,46.33,45.98,2586,
2026-02-05T15:35:49.178,14th Nov,170.37,24.81,68.06,1.08,67.65,-2.92,1.33,2.62,3.59,2.11,41.96,57.34,40.16,59.02,39.27,58.04,45.63,46.64,2562,
2026-02-05T15:35:49.178,13th Nov,136.51,-58.17,67.22,-6.32,69.69,-4.52,2.07,2.27,3.36,2.46,40.97,58.48,39.84,59.27,39.99,57.39,45.78,46.60,2558,
2026-02-05T15:35:49.178,12th Nov,326.32,167.34,71.68,31.79,72.92,11.22,2.07,1.80,4.85,1.49,42.23,57.38,41.41,57.77,41.10,56.36,46.42,45.99,2555,
2026-02-05T15:35:49.178,11th Nov,123.53,32.44,54.63,12.16,65.82,-0.067,1.33,4.07,3.29,2.66,31.36,68.28,35.04,64.14,38.72,58.82,44.43,48.06,2557,
2026-02-05T15:35:49.178,10th Nov,94.55,-33.51,49.18,1.25,66.40,0.934,2.09,4.03,4.03,4.26,28.80,70.81,32.67,66.43,38.91,58.60,44.96,47.60,2580,
2026-02-05T15:35:49.178,7th Nov,154.55,397.36,48.13,7.84,65.30,-0.398,1.25,4.50,3.33,2.15,26.31,73.34,32.22,66.95,38.53,59.01,45.46,47.06,2554,
2026-02-05T15:35:49.178,6th Nov,31.64,-75.26,44.71,-43.92,65.67,-26.61,1.57,3.76,2.19,6.93,23.54,76.26,30.63,68.51,38.58,58.75,45.24,47.32,2553,
2026-02-05T15:35:49.178,4th Nov,125,-45.97,79.67,-32.01,89.41,-15.69,1.96,1.80,2.15,1.72,35.41,64.39,43.91,55.11,45.99,51.43,49.28,43.24,2553,
2026-02-05T15:35:49.178,3rd Nov,201.64,44.93,117.04,18.05,106.00,9.00,3.19,1.44,4.78,2.37,47.92,51.85,53.40,45.63,50.14,47.30,50.91,41.62,2573,
