Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,From52wh,3d range,5d,Free float,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m
2026-07-21T02:50:24.697,INDUSINDBK,1032.85,0.55,996.81,992.0,1012.23,1063.78,0.8,33.84,90.52,67.51,bank,banks - private sector,34.55,2.04,22.25,-0.0,0.26,988.15,956.43,5.81,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SOLARINDS,19028.0,3.04,18130.0,17958.0,18050.68,20493.98,1.33,78.6,102.64,62.42,aerospace & defence,chemicals,16.91,5.41,59.66,0.37,0.33,17912.12,17172.2,5.77,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,PTCIL,18030.0,0.5,17444.0,17350.0,17095.32,19432.02,0.43,112.8,266.13,56.68,industrials,castings & forgings,9.25,5.47,2.83,-0.08,0.01,17186.17,16601.29,5.65,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,GODREJIND,1364.8,2.26,1300.75,1302.1,1334.48,1410.28,0.57,25.87,37.06,67.8,chemicals,chemicals,58.12,2.27,34.59,0.24,0.19,1251.25,1180.28,5.56,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,SHYAMMETL,1055.0,3.18,1000.09,1006.7,984.44,1160.84,3.49,23.55,27.68,68.79,metals & mining,steel - large,30.61,7.17,30.73,0.2,0.16,974.58,949.27,5.42,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,IKS,1901.9,0.25,1817.9,1837.8,1892.23,1916.41,0.71,38.63,44.08,64.89,i.t,computers - software - medium / small,40.95,0.51,13.21,0.03,0.12,1789.34,1718.62,5.24,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,APOLLOHOSP,8905.0,0.9,8596.07,8739.0,8859.24,8973.64,0.78,60.46,65.94,63.81,healthcare,healthcare,29.44,0.52,26.29,0.13,0.12,8606.45,8477.54,5.07,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,JINDALSAW,265.95,-1.3,257.0,248.5,261.77,272.22,0.55,40.79,25.95,55.69,industrials,steel - large,18.66,1.6,63.18,0.58,0.47,242.37,225.84,4.9,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,ZYDUSLIFE,1149.0,0.46,1117.89,1126.6,1142.97,1158.04,0.5,22.71,22.93,60.59,healthcare,pharmaceuticals - indian - bulk drugs & formln,41.92,0.53,25.7,0.22,0.14,1097.8,1077.11,4.54,2026-07-21,,,,,,,,,,,
2026-07-21T02:50:24.697,3MINDIA,35240.0,1.06,34015.8,34710.0,35487.59,34868.61,0.81,46.09,76.01,57.56,miscellaneous,diversified - large,17.11,-0.7,-0.37,-0.08,0.15,33338.71,32242.74,4.51,2026-07-21,,,,,,,,,,,
