Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,From52wh,3d range,5d
2026-07-20T05:44:51.582,IDFCFIRSTB,80.35,-0.04,-2.54,80.15,81.51,81.37,0.57,52.86,42.51,53.57,bank,banks - private sector,38.21,-3.54,-0.12,-0.01,-0.12,-0.03,1.3,79.79,0.84,-4.18,2.4,4.34,10.26,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,ADANIENT,3160.7,1.98,-1.33,3091.84,3222.76,3219.7,0.82,-462.09,40.28,54.08,services,trading,34.24,-1.67,0.28,0.2,0.28,0.17,1.85,3100.0,2.12,-5.23,3.03,4.31,6.81,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,ACMESOLAR,385.25,5.74,-3.04,375.64,378.36,398.65,0.64,41.88,46.75,57.15,realty,engineering - turnkey services,43.45,-3.36,0.51,0.28,0.51,0.26,2.52,367.75,0.36,-7.0,3.79,4.29,15.59,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,CENTENKA,541.4,18.88,-1.57,519.04,527.36,622.0,0.22,7.51,11.76,48.88,textiles,textiles - manmade,40.24,-3.18,0.08,0.08,0.08,0.07,1.0,518.0,0.8,-2.42,2.98,3.88,5.73,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,AUBANK,1030.2,-0.32,-5.02,1051.68,1092.52,1079.9,0.76,23.14,29.11,53.23,bank,banks - private sector,29.04,-1.57,-0.02,0.19,-0.02,0.16,2.1,1050.0,1.94,-4.83,2.55,3.79,7.06,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,ULTRACEMCO,11727.0,1.41,-3.04,11477.35,11944.65,11876.0,0.42,28.91,42.24,47.87,building materials,cement - north india,11.99,-1.35,-0.12,-0.07,-0.12,-0.08,1.1,11584.0,2.04,-3.53,1.79,3.75,4.76,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,HARSHA,419.9,1.01,-3.12,419.34,436.06,432.0,0.4,20.23,24.63,50.51,industrials,engineering,30.75,-1.23,-0.0,0.02,-0.0,0.01,2.04,419.15,1.99,-2.52,3.34,3.04,7.26,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,FLUOROCHEM,4144.9,5.79,-2.6,3925.93,3957.07,4169.9,0.85,104.46,79.3,53.11,chemicals,chemicals,26.81,-2.32,0.04,0.02,0.04,0.0,2.05,3862.3,0.4,-5.6,2.85,2.98,7.45,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,ADANIPORTS,1837.4,1.73,-1.15,1809.21,1846.99,1859.7,0.57,31.79,31.56,46.92,transportation,miscellaneous,15.0,-1.64,0.15,0.22,0.15,0.2,1.56,1800.1,1.04,-2.01,2.38,2.52,2.76,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T05:44:51.582,NIVABUPA,86.06,3.64,-1.05,85.01,88.01,89.66,0.57,11.51,121.21,51.25,financials,finance & investments,36.16,-0.69,0.04,0.12,0.04,0.11,0.61,85.99,1.76,-2.18,2.45,2.45,3.49,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
