Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Lod dist%,Vars,Smavars,Market_cap,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2,W rsi,Adr p - adr%,From52wh,3d range,5d
2026-07-20T23:56:13.3,KERNEX,2120.1,0.7,-9.96,2206.06,2260.74,2249.0,0.44,13.03,38.76,55.7,consumer discretionary,electronics - components,35.62,-7.0,0.65,0.79,0.65,0.73,5.29,2121.2,1.24,-11.1,5.96,8.19,23.12,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,ANTELOPUS,861.8,5.0,-5.54,775.92,919.28,889.95,1.28,19.89,32.2,49.45,energy,oil drilling / allied services,17.14,2.83,1.07,0.59,1.07,0.54,4.0,815.0,9.24,-9.32,4.88,7.14,10.21,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,KIRLFER,480.3,2.63,-3.53,463.32,481.78,485.0,0.37,15.74,21.41,49.9,metals & mining,steel - large,23.27,-4.66,-0.12,0.03,-0.12,0.03,2.0,463.3,1.99,-6.5,3.71,6.3,10.24,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,PRUDENT,2830.8,0.5,-8.08,2984.12,3155.28,3084.9,0.97,49.56,53.95,53.65,financials,finance & investments,20.35,-3.8,0.09,0.09,0.09,0.06,3.98,2952.1,2.87,-6.88,3.16,6.18,10.79,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,NITINSPIN,549.7,1.98,-4.31,546.47,580.13,574.45,0.58,13.47,17.43,52.99,textiles,textiles - cotton/blended,38.49,-3.12,0.65,0.68,0.65,0.62,3.98,541.75,3.08,-7.59,3.83,5.49,8.61,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,ABSLAMC,1118.6,0.51,-5.0,1154.55,1192.85,1179.7,1.23,43.16,34.07,51.41,financials,finance & investments,29.69,-4.2,0.32,0.37,0.32,0.34,3.21,1137.2,1.66,-7.17,3.56,5.25,11.03,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,REPCOHOME,405.3,0.48,-6.0,419.12,420.28,421.7,0.75,4.69,5.28,52.67,financials,finance - housing,24.91,-3.26,-0.08,-0.03,-0.08,-0.05,4.92,400.0,0.14,-7.55,3.54,4.92,10.37,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,AGARWALEYE,484.7,1.44,-5.19,476.41,519.29,505.0,2.29,96.94,115.42,61.05,healthcare,healthcare,24.58,0.59,-0.09,-0.08,-0.09,-0.11,4.81,475.0,4.5,-6.88,3.28,4.81,6.99,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,CENTENKA,549.4,17.44,-2.77,518.82,540.48,622.0,0.22,7.62,11.76,52.49,textiles,textiles - manmade,39.27,-2.41,0.11,0.12,0.11,0.1,1.55,521.55,2.09,-5.21,2.89,4.47,5.81,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,VTL,631.05,1.28,-3.48,637.16,664.14,659.0,0.4,24.31,24.31,49.63,textiles,textiles - cotton/blended,10.58,-2.79,0.45,0.42,0.45,0.39,3.84,626.6,2.12,-7.09,3.32,4.43,6.61,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,GREENLAM,252.6,0.63,-6.17,256.64,265.26,266.65,0.26,39.72,113.34,53.78,building materials,miscellaneous,33.65,-2.99,-0.04,-0.01,-0.04,-0.02,3.31,252.6,1.68,-6.64,3.69,4.23,9.84,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-20T23:56:13.3,SKIPPER,544.9,3.33,-4.15,537.9,574.1,574.5,0.57,19.57,28.54,53.54,industrials,engineering,23.67,-0.93,0.23,0.03,0.23,0.01,3.36,537.95,3.36,-7.25,4.0,4.12,7.17,2026-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
