Timestamp,Symbol,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Scan_Date
2026-02-05T10:34:16.537,SOUTHBANK,15.12,17.05,11.67,2.39,-0.016,0.127,0.434,2026-02-05
2026-02-04T22:58:30.802,WAAREEINDO,4526.9,3956.38,4974.23,22.61,-0.077,0.133,108.68,2026-02-04
2026-02-04T22:58:30.802,CUPID,118.77,106.68,53.39,18.13,0.096,0.773,1.7,2026-02-04
2026-02-04T22:58:30.802,VERTOZ,93.4,97.67,67.34,39.64,-0.187,-0.206,-0.324,2026-02-04
2026-02-04T22:58:30.802,TAKE,72.0,52.64,13.22,-12.09,0.036,0.762,3.34,2026-02-04
2026-02-04T22:58:30.802,SABTNL,67.47,9.29,-5.08,36.74,0.073,1.34,0.742,2026-02-04
2026-02-04T22:58:30.802,SILVER1,51.82,40.27,12.31,7.14,0.218,0.959,1.6,2026-02-04
2026-02-04T22:58:30.802,ESILVER,50.53,40.46,12.39,7.09,0.195,0.922,1.56,2026-02-04
2026-02-04T22:58:30.802,TATSILV,50.24,40.37,12.45,7.09,0.186,0.906,1.53,2026-02-04
2026-02-04T22:58:30.802,SILVERAG,50.16,40.12,12.32,7.09,0.194,0.918,1.54,2026-02-04
2026-02-04T22:58:30.802,SILVERIETF,49.64,40.65,12.41,7.16,0.177,0.9,1.52,2026-02-04
2026-02-04T22:58:30.802,SBISILVER,49.59,40.53,12.29,7.41,0.178,0.9,1.52,2026-02-04
2026-02-04T22:58:30.802,SILVER,49.49,40.43,12.27,7.14,0.175,0.892,1.51,2026-02-04
2026-02-04T22:58:30.802,SILVERADD,49.41,40.71,12.36,7.13,0.173,0.893,1.51,2026-02-04
2026-02-04T22:58:30.802,HDFCSILVER,49.4,40.39,12.23,7.08,0.178,0.9,1.52,2026-02-04
2026-02-04T22:58:30.802,AXISILVER,49.31,40.31,12.36,7.09,0.175,0.893,1.51,2026-02-04
2026-02-04T22:58:30.802,SILVERBEES,49.27,40.33,12.23,7.07,0.177,0.898,1.51,2026-02-04
2026-02-04T22:58:30.802,SILVERBETA,48.9,40.21,12.32,6.64,0.17,0.885,1.5,2026-02-04
2026-02-04T22:58:30.802,FORCEMOT,46.61,50.52,45.31,23.19,-0.046,0.098,0.201,2026-02-04
2026-02-04T22:58:30.802,LUMAXTECH,44.08,40.98,34.49,24.07,-0.092,0.274,0.403,2026-02-04
2026-02-04T22:58:30.802,SMLMAH,43.5,45.11,24.36,18.52,-0.072,0.172,0.101,2026-02-04
2026-02-04T22:58:30.802,HINDCOPPER,43.11,31.51,5.32,-5.77,0.111,0.846,1.59,2026-02-04
2026-02-04T22:58:30.802,BGRENERGY,41.36,64.89,220.21,31.6,-0.03,-0.181,2.49,2026-02-04
2026-02-04T22:58:30.802,VENUSREM,40.01,34.32,8.21,8.91,0.014,0.746,0.46,2026-02-04
2026-02-04T22:58:30.802,INFOBEAN,39.89,30.89,12.98,6.86,0.003,0.418,0.579,2026-02-04
2026-02-04T22:58:30.802,LUMAXIND,36.36,34.79,26.54,8.37,-0.078,0.068,0.417,2026-02-04
2026-02-04T22:58:30.802,PFOCUS,35.38,21.65,10.82,1.05,0.072,0.425,0.749,2026-02-04
2026-02-04T22:58:30.802,SILGO,34.3,25.62,16.72,9.61,-0.053,0.113,0.38,2026-02-04
2026-02-04T22:58:30.802,GRMOVER,31.5,34.59,24.48,19.9,-0.024,0.18,0.34,2026-02-04
2026-02-04T22:58:30.802,MTARTECH,31.2,13.74,15.4,-5.54,0.371,0.343,1.38,2026-02-04
2026-02-04T22:58:30.802,TDPOWERSYS,30.31,14.14,29.45,6.29,0.183,0.002,0.627,2026-02-04
2026-02-04T22:58:30.802,TFCILTD,29.95,23.92,36.67,15.5,0.006,-0.043,0.171,2026-02-04
2026-02-04T22:58:30.802,MCX,29.74,19.98,10.39,16.95,0.157,0.364,0.674,2026-02-04
2026-02-04T22:58:30.802,SILVERTUC,28.49,23.78,1.98,-0.726,0.042,0.853,0.894,2026-02-04
