Timestamp,Symbol,F_pe,Pe,Eps[a],Eps[a1],Eps,Eps[1],Eps[3],Sales[a],Sales[a1],Sales,Sales[2],Sales[3],Roce,Fii,Fii[1],Fii[2],Fii[a],Fii[a1],Scan_Date
2026-02-17T04:11:02.848,LICHSGFIN,5.03,5.13,3.63,-1.09,25.42,24.53,24.8,0.413,-0.978,7208.92,7179.25,7250.16,8.93,20.36,20.17,20.26,0.922,-0.427,2026-02-17
2026-02-17T04:11:02.848,NGLFINE,22.53,40.29,63.03,4.14,25.4,15.58,14.96,6.03,15.42,127.51,120.26,104.19,9.33,0.0,0.0,0.0,-100.0,33.33,2026-02-17
2026-02-17T04:11:02.848,TEAMLEASE,13.45,17.17,51.61,3.66,24.88,16.41,15.83,-0.631,4.87,3012.95,3032.07,2891.4,11.82,6.35,6.68,7.69,-4.89,-13.14,2026-02-17
2026-02-17T04:11:02.848,KOTAKBANK,4.3,4.5,10.15,-0.089,24.75,22.47,22.49,1.79,-0.287,17506.8,17198.74,17248.31,0.0,29.36,29.75,30.69,-1.33,-3.05,2026-02-17
2026-02-17T04:11:02.848,KEI,45.62,49.78,15.35,3.95,24.57,21.3,20.49,8.38,5.25,2954.7,2726.35,2590.32,21.16,25.48,25.83,26.59,-1.32,-2.87,2026-02-17
2026-02-17T04:11:02.848,IMFA,14.5,20.66,34.64,5.67,24.33,18.07,17.1,-2.2,12.02,702.83,718.65,641.54,21.18,3.35,3.69,3.4,-9.24,8.5,2026-02-17
2026-02-17T04:11:02.848,FIEMIND,23.18,24.14,-0.455,10.71,24.08,24.19,21.85,-3.67,9.6,685.87,712.02,649.64,28.0,6.94,7.19,4.68,-3.59,53.71,2026-02-17
2026-02-17T04:11:02.848,BFINVEST,4.28,9.3,123.66,4.02,23.73,10.61,10.2,-47.75,105.2,10.11,19.35,9.43,4.62,0.658,0.743,0.739,-11.49,0.582,2026-02-17
2026-02-17T04:11:02.848,TIIL,25.71,19.88,-30.59,-3.48,23.46,33.8,35.02,-11.91,18.83,662.43,752.0,632.85,15.95,0.434,0.508,0.485,-14.57,4.77,2026-02-17
2026-02-16T23:34:18.962,MRF,22.54,28.55,31.62,5.03,1631.23,1239.38,1180.04,9.1,-3.87,8050.43,7378.72,7675.69,13.27,18.17,18.27,18.67,-0.522,-2.13,2026-02-16
2026-02-16T23:34:18.962,FORCEMOT,19.94,22.97,15.81,98.88,308.22,266.14,133.82,2.27,-9.4,2128.56,2081.4,2297.25,29.59,10.46,10.27,9.77,1.82,5.16,2026-02-16
2026-02-16T23:34:18.962,TVSHLTD,15.08,19.58,11.36,31.98,243.75,218.89,165.85,4.57,14.34,14583.15,13945.52,12196.81,17.65,3.12,3.0,2.84,4.06,5.58,2026-02-16
2026-02-16T23:34:18.962,BAJAJHLDNG,15.36,13.78,29.34,-55.28,181.2,140.1,313.3,-27.56,22.24,287.51,396.87,324.66,11.53,10.26,10.33,10.31,-0.695,0.22,2026-02-16
2026-02-16T23:34:18.962,BOSCHLTD,49.13,38.19,-3.95,-50.32,180.58,188.01,378.41,1.89,0.13,4885.6,4794.8,4788.6,20.48,7.34,7.13,6.18,2.91,15.43,2026-02-16
2026-02-16T23:34:18.962,ABBOTINDIA,37.15,36.89,-9.47,13.5,176.92,195.42,172.17,-1.88,1.08,1724.04,1757.15,1738.35,44.95,0.182,0.156,0.163,16.89,-4.36,2026-02-16
2026-02-16T23:34:18.962,HONAUT,56.89,54.91,1.44,-4.13,137.08,135.13,140.95,1.68,-2.85,1168.7,1149.4,1183.1,18.29,3.46,3.01,2.77,15.07,8.69,2026-02-16
2026-02-16T23:34:18.962,MARUTI,30.5,32.08,15.83,-11.69,123.38,106.52,120.62,18.43,9.6,47537.2,40138.7,36624.1,20.98,15.76,15.78,15.2,-0.124,3.79,2026-02-16
2026-02-16T23:34:18.962,BAJAJ-AUTO,24.61,30.66,29.61,-4.04,98.5,76.0,79.2,0.817,20.61,15378.24,15253.64,12646.59,28.09,8.84,9.65,10.3,-8.46,-6.27,2026-02-16
2026-02-16T23:34:18.962,VOLTAMP,20.9,22.71,25.66,-0.877,97.94,77.94,78.63,30.62,13.92,630.32,482.56,423.58,29.44,21.78,22.85,23.23,-4.71,-1.6,2026-02-16
2026-02-16T23:34:18.962,PGHH,31.15,44.16,43.65,9.26,92.87,64.65,59.17,9.67,22.85,1259.91,1148.85,935.16,134.56,1.07,1.11,1.38,-4.27,-19.5,2026-02-16
2026-02-16T23:34:18.962,MCX,7.44,12.74,103.13,-2.81,78.65,38.72,39.84,77.86,0.273,665.62,374.23,373.21,27.47,20.64,19.0,21.69,8.6,-12.38,2026-02-16
2026-02-16T23:34:18.962,ZFCVINDIA,54.04,60.46,29.47,-11.53,73.9,57.08,64.52,17.7,-6.39,1074.91,913.24,975.56,19.95,5.79,5.73,5.57,1.14,2.84,2026-02-16
2026-02-16T23:34:18.962,OFSS,23.9,23.63,11.52,-14.94,70.08,62.84,73.88,9.9,-3.42,1965.9,1788.8,1852.2,38.11,8.36,8.65,8.55,-3.35,1.13,2026-02-16
2026-02-16T23:34:18.962,MUTHOOTFIN,12.52,16.51,15.84,20.05,69.84,60.29,50.22,12.42,12.91,8187.6,7282.79,6450.13,13.27,11.75,11.58,10.84,1.5,6.78,2026-02-16
2026-02-16T23:34:18.962,TASTYBITE,29.96,55.48,382.92,-55.78,68.14,14.11,31.91,33.2,9.72,176.71,132.67,120.92,10.53,3.66,3.68,3.7,-0.573,-0.508,2026-02-16
