Timestamp,Symbol,High,Lod price,Cmp,%ch,Initial_atr1.5sl,Sl,Target,Forward pe,Pe,Sector,Industry,%ch y_low,Srs,Ars,Srs y,Ars y,%ch_high,%ch 2 low,%ch sl,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Scan_Date,Low,Max2,R_vol,Rsi,W rsi,Adx,Adr p - adr%,%ch7,Lch7,Lc
2026-03-14T23:27:39.949,KIRLOSENG,1500.5,,1451.3,-1.2,1356.89,1449.73,1454.45,47.37,38.56,industrials,engines,-3.23,0.5,0.64,0.52,0.66,6.8,6.8,5.11,4.7,3.3,172.19,68.14,,,,,,,,,34.93,,,2026-03-14,1427.5,1500.5,0.99,61.74,68.09,21.45,4.41,,,
2026-03-14T23:27:39.949,GODIGIT,344.0,,334.65,-2.86,318.04,329.81,344.32,55.04,60.52,financials,finance & investments,0.23,-0.13,-0.05,-0.12,-0.02,4.24,4.24,3.68,3.63,1.41,4.3,12.16,,,,,,,,,23.44,,,2026-03-14,331.8,344.0,0.32,51.97,48.31,22.76,3.43,,,
2026-03-13T23:34:59.907,KIRLOSENG,1500.5,,1451.3,-1.2,1356.89,1449.73,1454.45,47.37,39.02,industrials,engines,-3.23,0.5,0.64,0.52,0.66,6.8,6.8,5.11,4.7,3.3,172.19,68.14,,,,,,,,,34.93,,,2026-03-13,1427.5,1500.5,0.99,61.74,68.09,21.45,4.41,,,
2026-03-13T23:34:59.907,GODIGIT,344.0,,334.65,-2.86,318.04,329.81,344.32,55.04,62.3,financials,finance & investments,0.23,-0.13,-0.05,-0.12,-0.02,4.24,4.24,3.68,3.63,1.41,4.3,12.16,,,,,,,,,23.44,,,2026-03-13,331.8,344.0,0.32,51.97,48.31,22.76,3.43,,,
2026-03-11T17:32:43.282,LINCOLN,646.7,,621.85,-1.23,583.19,638.44,588.67,10.89,14.35,healthcare,pharmaceuticals - indian - formulations,-4.38,0.03,0.07,0.03,0.08,4.78,4.78,4.19,4.11,2.79,90.43,25.53,,,,,,,,,4.5,,,2026-03-11,620.7,646.7,0.43,62.68,63.09,57.63,5.6,,,
2026-03-11T17:32:43.282,FINCABLES,943.4,,887.85,-4.43,829.05,910.1,843.36,20.69,20.87,industrials,cables - power,3.6,-0.03,-0.11,0.01,-0.06,6.68,6.68,6.68,5.79,0.4,91.07,51.41,,,,,,,,,6.91,,,2026-03-11,884.3,943.4,1.34,55.46,56.94,40.59,4.75,,,
2026-03-11T17:32:43.282,CIEINDIA,476.1,,471.05,1.88,443.24,468.38,476.39,21.89,21.19,industrials,castings & forgings,-4.83,0.08,0.02,0.05,0.0,5.66,5.66,2.92,4.26,6.81,34.77,20.08,,,,,,,,,42.08,,,2026-03-11,462.6,476.1,0.6,55.89,63.92,38.85,4.25,,,
2026-03-11T17:32:43.282,SIEMENS,3348.4,,3272.2,-0.08,3107.24,3247.98,3320.63,104.88,65.92,industrials,electric equipment,-0.21,-0.05,-0.01,-0.05,-0.0,3.14,3.14,2.63,3.55,4.54,147.87,116.12,,,,,,,,,8.27,,,2026-03-11,3262.6,3348.4,0.79,53.7,54.8,14.81,3.3,,,
2026-03-11T17:32:43.282,GODIGIT,337.65,,334.5,0.39,318.57,329.46,344.58,55.02,60.25,financials,finance & investments,0.2,-0.14,-0.11,-0.15,-0.11,2.18,2.18,1.72,3.4,5.14,3.96,11.37,,,,,,,,,22.43,,,2026-03-11,331.95,337.65,0.22,53.31,48.23,21.11,3.23,,,
2026-03-11T17:32:43.282,POWERGRID,302.9,,298.8,0.05,288.08,299.37,297.66,16.6,17.88,power & utilities,power generation and supply,-2.46,-0.04,-0.04,-0.04,-0.03,3.11,3.11,1.63,2.49,4.66,19.64,7.43,,,,,,,,,10.09,,,2026-03-11,298.05,302.9,0.8,57.0,61.42,19.31,2.37,,,
