Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Lc,Low,%ch sl atr,Bollinger bandwidth,%ch5,Lch5,5d_high,Column26,Rs_score,Rscore_1mago,Rscore_3mago,Rscore_6mago,Rs_1m,Rs_3m,Rs_6m,Max2,W rsi,Adr p - adr%
2026-07-30T18:35:37.388,PPLPHARMA,196.72,0.53,,,182.97,224.21,,-702.57,-79.22,,healthcare,pharmaceuticals - indian - bulk drugs & formln,,5.02,,0.18,-0.02,,,,2026-07-30,202.26,192.6,185.56,8.16,0.16,-0.02,5.02,5.02,4.09,4.69,23.74,8.05,4.51,4.51,2.95,286.82,26051.82,0.76,-0.29,3.35,51.18,868023458,1331348130,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,MRPL,166.84,2.1,,,167.48,165.56,,7.72,9.11,,energy,refineries,,8.17,,-0.13,-0.07,,,,2026-07-30,174.2,161.05,154.96,-5.1,-0.09,-0.09,9.56,9.56,5.24,4.93,9.34,8.74,5.21,5.21,1.07,200.97,28639.22,0.91,-1.41,1.13,66.24,200091162,1752598777,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,DATAPATTNS,4462.0,0.57,,,4219.94,4946.12,,45.14,91.53,,aerospace & defence,electronics - components,,2.91,,0.6,0.44,,,,2026-07-30,4488.0,4361.0,4150.9,3.94,0.55,0.43,3.65,3.65,4.65,3.72,104.69,207.35,4.69,4.69,0.51,43.85,24837.85,0.99,-0.37,0.52,48.71,32241586,55983969,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,PERSISTENT,5514.7,0.57,,,5248.04,6048.03,,40.75,45.8,,i.t,computers - software - large,,4.2,,-0.16,-0.13,,,,2026-07-30,5698.0,5468.4,5248.78,6.08,-0.19,-0.14,4.36,4.36,3.26,3.35,513.88,179.66,3.03,3.03,2.86,147.71,86499.06,1.42,0.41,3.15,25.77,109960070,157750000,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,AZAD,2259.6,-5.66,,,2395.08,1988.65,,101.42,116.73,,aerospace & defence,engineering,,6.45,,0.46,0.35,,,,2026-07-30,2395.2,2250.0,2106.77,-0.85,0.46,0.44,6.45,6.45,4.5,0.43,67.26,101.6,4.88,4.88,0.66,136.71,15468.62,1.56,1.53,0.68,9.45,28517503,64581743,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,ABB,7291.5,-0.26,,,7327.8,7218.89,,21.65,52.02,,industrials,electric equipment,,1.9,,0.23,0.43,,,,2026-07-30,7332.0,7195.0,6966.52,-2.9,0.33,0.44,3.49,3.49,3.05,2.91,214.46,222.59,3.15,3.15,0.96,87.43,154915.62,2.07,-0.14,0.99,43.35,52977094,211908375,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,ITDC,696.9,-3.14,,,751.84,587.02,,52.8,74.87,,services,hotels,,4.07,,0.25,0.14,,,,2026-07-30,720.7,692.5,638.98,-5.77,0.28,0.18,4.07,4.07,5.52,0.64,59.15,38.44,7.0,7.0,1.54,9.37,6171.11,2.94,2.73,1.68,11.45,11127719,85769400,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,LLOYDSME,2015.1,-1.76,,,1933.24,2178.82,,18.82,29.39,,metals & mining,mining / minerals / metals,,2.98,,0.64,0.53,,,,2026-07-30,2055.0,1995.5,1917.54,5.8,0.64,0.56,2.98,2.98,3.53,2.65,206.45,71.11,3.54,3.54,2.9,90.38,115469.1,3.39,0.82,3.23,27.56,215986677,562906951,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,PAYTM,1332.5,0.19,,,1328.72,1340.05,,96.84,130.91,,i.t,miscellaneous,,2.51,,0.05,-0.02,,,,2026-07-30,1350.2,1317.1,1267.58,-3.21,0.03,-0.02,4.42,4.42,3.24,3.54,148.39,43.22,3.63,3.63,3.43,95.62,85164.82,3.4,2.8,3.86,35.63,640337006,640337006,,,,,,,,,,,,,,,,,,,,,
2026-07-30T18:35:37.388,CHENNPETRO,1238.2,2.14,,,1201.16,1312.29,,4.47,4.33,,energy,refineries,,6.25,,0.3,0.16,,,,2026-07-30,1288.7,1212.9,1145.73,-1.64,0.3,0.13,9.57,9.57,5.57,7.67,90.73,68.92,5.55,5.55,1.32,209.41,18052.53,4.24,2.09,1.42,36.71,48713300,148911400,,,,,,,,,,,,,,,,,,,,,
