Timestamp,Symbol,Cmp,%ch,Low 2%,Low5,Sl,Target,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch sl,Rs,Srs,Ars,Is,Tps,Rs score,Scan_Date,High,Lod price,Initial_atr1.5sl,%ch y_low,Srs y,Ars y,%ch_high,%ch 2 low,Atr%,%ch_3low,Lod dist%,E_s50,Avg_true_range,Adr%,Vars,Smavars,Ma_x,Rvol,Market_cap,From52wh,3d range,5d,Free float,Low,Max2,W rsi,Lod dist,Adr p - adr%
2026-05-18T18:24:18.163,POLICYBZR,1748.3,3.55,1640.52,1593.7,1666.47,1871.05,1.35,77.36,116.03,67.32,i.t,computers - software - medium / small,22.27,4.91,2.34,-0.07,-0.05,1621.09,1530.09,0.57,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,VBL,511.5,1.53,484.41,484.65,512.38,510.18,0.63,49.56,53.6,62.88,fmcg,food - processing - indian,28.36,-0.17,15.85,0.03,0.02,481.72,462.58,0.09,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,RAINBOW,1351.3,1.13,1294.87,1258.9,1279.07,1459.65,0.79,47.31,52.67,67.34,healthcare,healthcare,26.66,5.65,1.65,-0.07,-0.13,1272.45,1218.01,-0.34,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,BALRAMCHIN,541.1,0.28,514.6,517.75,529.17,558.99,0.47,17.12,28.79,61.99,fmcg,sugar,19.11,2.25,16.84,0.07,-0.03,500.66,473.78,-0.48,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,CIPLA,1426.2,-0.41,1383.56,1274.7,1362.37,1521.94,1.02,51.9,29.81,68.41,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.11,4.69,-8.12,-0.14,-0.13,1339.01,1289.51,-1.33,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,KOTAKBANK,391.8,1.23,372.69,374.55,374.97,417.05,0.68,17.97,5.15,61.21,bank,banks - private sector,13.79,4.49,-8.83,-0.13,-0.03,370.87,356.37,-1.88,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,BHARTIHEXA,1597.6,2.26,1501.56,1451.5,1468.69,1790.96,1.76,44.73,45.09,63.09,telecom-service,telecommunications - service provider,13.28,8.78,-9.0,-0.17,-0.13,1500.38,1432.86,-2.26,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,TATATECH,629.4,1.44,596.82,609.0,619.54,644.18,0.67,31.28,46.1,62.89,i.t,computers - software - medium / small,34.93,1.59,-8.43,-0.15,-0.07,590.35,564.66,-2.34,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,MAXHEALTH,1058.55,0.81,1003.81,1003.55,1019.55,1117.05,0.61,85.37,71.92,65.4,healthcare,healthcare,13.6,3.82,-8.78,-0.12,-0.11,1001.11,962.49,-2.42,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,PPLPHARMA,175.08,0.12,166.89,170.3,176.27,173.29,0.41,-625.29,-70.8,61.26,healthcare,pharmaceuticals - indian - bulk drugs & formln,33.52,-0.68,-8.84,-0.17,-0.08,158.83,147.84,-3.89,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,COFORGE,1348.1,5.15,1249.11,1249.8,1257.2,1484.45,1.14,18.49,27.66,59.96,i.t,computers - software - large,17.33,7.23,-20.7,-0.31,-0.24,1236.77,1156.98,-4.86,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,SYNGENE,466.3,2.7,444.68,452.5,463.26,470.86,0.46,31.68,57.62,56.08,healthcare,miscellaneous,35.6,0.66,-25.41,-0.34,-0.28,422.8,393.42,-6.53,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-18T18:24:18.163,HEALTHCARE,20.18,0.25,19.5,19.6,19.85,20.68,1.53,NaN,0.0,74.89,indices,indices,47.68,1.67,NaN,NaN,NaN,19.27,19.15,NaN,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02T12:31:44.185,SPORTKING,121.4,0.12,,,112.31,139.58,,15.64,12.56,,textiles,textiles - spinning - synthetic / blended,,4.1,,0.1,-0.13,,,,2026-04-02,124.4,119.5,112.44,2.91,0.13,-0.12,9.18,9.18,5.25,8.39,29.82,14.23,6.37,5.12,12.71,9.42,2.23,143.81,1540.75,,,,,,,,,
