Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low3,Initial_atr1.5sl,0d_high,W rsi,%ch_2low,Adr p - adr%,High,Lod price,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,%ch7,Lch7,7d_high,Bollinger bandwidth,Column27,Change,Low 2%,Low5,Rs,Is,Tps,Rs score,Max2
2026-08-19T18:20:51.632,AURUM,229.73,,,217.26,254.67,,0.09,9.67,28.95,55.66,i.t,computers - software - medium / small,31.48,3.32,0.18,0.32,0.21,0.31,,,5.74,,4.04,4.09,,2026-08-19,1.36,220.7,214.91,230.75,63.6,3.11,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,CASTROLIND,188.86,,,188.23,190.12,,0.63,13.45,17.14,54.97,chemicals,chemicals,37.4,-1.27,-0.07,-0.05,-0.08,-0.06,,,0.34,,1.52,1.48,,2026-08-19,1.08,186.1,185.0,190.9,54.64,1.48,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19T18:20:51.632,IDFCFIRSTB,85.49,,,85.65,85.17,,0.5,16.07,32.6,59.02,bank,banks - private sector,36.72,-1.3,-0.06,0.03,-0.07,0.02,,,-0.19,,1.52,1.16,,2026-08-19,0.86,84.51,83.12,85.55,67.33,1.05,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-18T08:36:07.147,GHCLTEXTIL,120.08,,,114.91,125.09,,,7.29,11.92,65.11,textiles,textiles - spinning - synthetic / blended,34.43,0.03,0.37,0.51,0.34,0.44,4.39,114.95,4.43,-4.28,4.75,6.62,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,2.75,-4.74,123.3,15.02,,,,,,,,,
2026-08-18T08:36:07.147,STOVEKRAFT,748.5,,,755.95,844.45,,,36.34,50.95,60.08,consumer discretionary,domestic appliances,33.52,0.54,0.36,0.25,0.3,0.19,5.29,760.0,5.85,-1.88,5.63,6.62,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,4.6,-7.77,849.8,5.68,,,,,,,,,
2026-08-18T08:36:07.147,PLASTIBLEN,191.8,,,188.03,206.95,,,9.0,13.59,61.01,chemicals,chemicals,25.59,0.37,0.17,0.13,0.14,0.09,4.65,188.72,5.03,-2.56,3.75,5.26,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,5.9,-3.67,209.14,9.47,,,,,,,,,
2026-08-18T08:36:07.147,AUBANK,1072.2,,,1016.21,1158.99,,,25.22,28.05,62.74,bank,banks - private sector,20.23,2.9,0.02,0.14,-0.02,0.11,4.01,1045.7,7.03,-2.71,2.8,5.06,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,1.24,-3.61,1105.9,4.71,,,,,,,,,
2026-08-18T08:36:07.147,AARTIIND,526.7,,,478.74,523.66,,,30.84,35.98,58.67,chemicals,chemicals,15.21,0.97,0.04,0.25,0.03,0.22,3.68,483.4,4.69,-3.14,3.1,4.3,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,8.08,-1.03,541.7,4.91,,,,,,,,,
2026-08-18T08:36:07.147,KAMDHENU,33.85,,,34.82,35.28,,,8.3,11.1,61.57,metals & mining,steel - medium / small,36.76,-1.92,0.48,0.27,0.49,0.25,2.64,34.15,0.66,-3.12,4.68,3.7,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,2.43,-9.36,35.9,14.48,,,,,,,,,
2026-08-18T08:36:07.147,GUFICBIO,418.2,,,380.09,428.61,,,47.09,57.13,62.03,healthcare,pharmaceuticals - indian - bulk drugs & formln,27.83,3.7,0.19,0.14,0.18,0.11,2.59,394.15,6.38,-3.15,3.14,3.67,,2026-08-18,,,,,,,,,,,,,,,,,,,,,,,,,9.31,-1.03,442.0,6.24,,,,,,,,,
