Timestamp,Symbol,Cmp,%ch5,Lch5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Column26,Scan_Date,%ch,Low 2%,Low5,Rs,Is,Tps,Rs score,High,Lod price,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%
2026-05-12T22:56:25.136,VTL,613.75,,,605.7,625.83,,1.1,23.64,23.13,61.1,textiles,textiles - cotton/blended,28.61,,0.3,0.43,,,,,1.33,,,,,2026-05-12,1.34,588.05,562.3,54.67,554.55,514.4,9.43,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,PTCIL,17142.0,,,16400.32,18254.52,,1.09,349.84,386.01,60.44,industrials,castings & forgings,14.92,,-0.09,0.2,,,,,4.52,,,,,2026-05-12,0.49,16377.76,16450.0,7.35,16040.83,15360.96,8.4,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,AUROPHARMA,1488.2,,,1445.7,1551.95,,0.86,23.74,24.76,70.73,healthcare,pharmaceuticals - indian - bulk drugs & formln,24.04,,0.19,0.37,,,,,2.94,,,,,2026-05-12,0.11,1449.03,1426.1,39.04,1417.3,1379.93,6.42,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,ONGC,294.5,,,285.07,308.65,,2.24,9.25,9.32,58.31,energy,oil drilling / allied services,26.13,,0.08,0.21,,,,,3.31,,,,,2026-05-12,4.8,281.11,277.65,21.92,276.58,268.54,5.99,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,AJANTPHARM,3091.7,,,2908.87,3365.95,,1.99,36.2,36.25,66.7,healthcare,pharmaceuticals - indian - formulations,18.7,,0.13,0.13,,,,,6.29,,,,,2026-05-12,0.9,2981.65,2924.9,28.25,2907.2,2816.92,5.49,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,BIOCON,402.45,,,368.59,453.24,,2.79,127.36,139.95,72.04,healthcare,pharmaceuticals - indian - bulk drugs & formln,23.84,,-0.03,0.08,,,,,9.19,,,,,2026-05-12,3.07,384.4,371.05,15.47,374.15,357.07,3.85,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,ONESOURCE,1830.2,,,1814.75,1853.38,,0.62,-59.12,1018.87,68.5,healthcare,pharmaceuticals - indian - bulk drugs & formln,33.7,,-0.06,-0.05,,,,,0.85,,,,,2026-05-12,1.49,1742.73,1721.9,-1.67,1680.55,1608.1,2.6,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,CARBORUNIV,1008.65,,,1001.79,1018.95,,0.87,62.73,80.11,65.84,industrials,abrasives and grinding wheels,44.62,,0.02,0.05,,,,,0.69,,,,,2026-05-12,-2.92,982.7,970.85,9.91,942.0,912.07,0.93,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,PIDILITIND,1453.0,,,1410.25,1517.13,,1.8,63.84,46.86,60.44,chemicals,chemicals,19.31,,-0.08,-0.09,,,,,3.03,,,,,2026-05-12,1.1,1399.05,1373.0,-2.68,1368.01,1331.26,-0.59,,,,,,,,,,,,,,,,,,,,,
2026-05-12T22:56:25.136,BALRAMCHIN,534.15,,,522.63,551.43,,0.9,23.76,23.68,61.94,fmcg,sugar,17.16,,0.07,-0.12,,,,,2.2,,,,,2026-05-12,1.67,511.02,511.95,11.47,501.49,479.29,-0.7,,,,,,,,,,,,,,,,,,,,,
