Timestamp,Symbol,Cmp,%ch7,Lch7,Sl,Target,7d_high,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,%ch sl,%ch sl atr,Atr%,%ch_3low,Bollinger bandwidth,Scan_Date,%ch5,Lch5,5d_high,R_vol,Column26,High,Lod price,%ch,Initial_atr1.5sl,%ch_high,%ch 2 low,E_s50,Avg_true_range,Adr%,Brackets12,Ma_x,Rvol,M_cap,Va,Va_ma,Atr% x,Lod dist,Free float,Grand_total_number2,Max2,W rsi,Adr p - adr%,Low 2%,Low5,Rs,Is,Tps,Rs score
2026-08-04T06:36:53.497,TBOTEK,1615.9,,,1437.95,1600.45,,51.99,65.32,49.47,i.t,travel agencies,25.94,-2.16,-0.03,-0.09,-0.03,-0.15,5.86,1435.1,5.65,-8.08,3.36,8.51,,2026-08-04,10.43,-3.19,1677.6,1.02,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,VAIBHAVGBL,265.7,,,253.62,276.36,,12.14,16.64,57.77,consumer discretionary,diamond cutting / jewellery,34.49,1.12,0.11,-0.02,0.11,-0.07,4.82,252.8,4.48,-8.79,4.47,7.88,,2026-08-04,6.53,-1.07,282.3,1.41,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,CAPLIPOINT,2566.1,,,2553.78,2689.02,,28.67,30.42,48.54,healthcare,pharmaceuticals - indian - formulations,43.45,-6.07,0.4,0.3,0.4,0.23,6.13,2470.0,2.65,-8.42,4.04,7.64,,2026-08-04,2.04,-4.79,2675.0,1.99,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,GRWRHITECH,7182.0,,,6849.14,7470.86,,38.55,49.33,55.6,industrials,packaging,26.02,-3.28,1.25,0.97,1.25,0.9,2.73,6970.0,4.54,-6.51,3.26,7.54,,2026-08-04,1.24,-5.64,7249.0,1.02,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MUNJALAU,103.68,,,101.99,107.81,,-864.0,25.79,51.04,auto,auto ancillaries,45.1,-2.54,0.38,0.16,0.38,0.11,4.27,100.6,2.85,-8.49,4.3,7.03,,2026-08-04,0.1,-4.26,106.1,0.71,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MANBA,137.29,,,136.65,156.09,,13.0,14.12,59.53,financials,finance & investments,37.9,0.16,0.03,0.03,0.03,-0.03,6.07,138.0,7.11,-6.95,3.61,6.84,,2026-08-04,5.21,-9.75,154.0,15.58,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MANORAMA,1633.0,,,1566.97,1750.83,,46.44,43.04,52.07,fmcg,food - processing - indian,23.78,-0.21,0.4,0.24,0.4,0.18,4.22,1591.7,5.87,-6.81,3.11,6.2,,2026-08-04,0.73,-3.43,1674.0,1.7,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,SAILIFE,1333.4,,,1253.54,1320.46,,67.62,80.28,50.49,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.13,-3.19,0.49,0.37,0.49,0.32,3.85,1239.3,2.67,-6.35,2.91,5.81,,2026-08-04,4.9,-1.11,1350.0,0.78,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,AETHER,1509.5,,,1476.77,1483.43,,79.11,84.95,59.09,chemicals,chemicals,42.58,-5.23,0.41,0.94,0.41,0.87,4.2,1420.4,0.23,-7.43,3.61,5.71,,2026-08-04,9.07,-2.36,1614.4,0.53,19.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,SANSERA,3452.7,,,3222.23,3323.77,,44.24,66.18,53.35,auto,auto ancillaries,36.01,-2.16,0.82,1.07,0.82,1.02,1.72,3217.6,1.58,-6.48,3.84,5.55,,2026-08-04,6.05,-3.11,3471.0,0.31,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,VINCOFE,152.39,,,155.92,169.82,,26.64,28.17,50.55,consumer discretionary,trading,23.11,-1.14,0.02,-0.06,0.02,-0.1,3.41,157.5,4.46,-6.92,3.61,5.38,,2026-08-04,2.17,-9.87,166.4,1.28,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,SUPRAJIT,512.7,,,487.57,495.23,,24.74,38.52,55.06,auto,auto ancillaries,31.61,-1.74,0.09,0.1,0.09,0.08,1.88,482.35,0.79,-4.76,3.21,5.22,,2026-08-04,7.04,-2.13,526.0,0.21,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,NH,1919.7,,,2000.36,2107.64,,47.05,47.78,51.27,healthcare,healthcare,14.99,-2.6,0.08,0.1,0.08,0.05,4.52,1965.1,2.68,-5.9,2.43,5.17,,2026-08-04,1.89,-6.82,2092.9,1.24,6.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,DEEPAKFERT,1576.0,,,1549.99,1719.01,,10.15,20.22,54.36,chemicals,chemicals,23.17,1.72,0.28,0.14,0.28,0.1,4.97,1557.1,5.45,-7.32,3.15,4.97,,2026-08-04,2.05,-7.54,1668.0,0.85,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MOTHERSON,155.01,,,140.85,157.09,,27.29,39.75,54.67,auto,auto ancillaries,17.99,1.31,0.27,0.4,0.27,0.37,1.82,146.3,5.76,-5.09,2.58,4.76,,2026-08-04,4.05,-3.43,155.01,0.59,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,EQUITASBNK,76.26,,,78.34,79.66,,11.84,17.06,52.07,bank,banks - private sector,17.94,-3.34,0.02,0.28,0.02,0.27,0.5,78.61,0.84,-3.18,3.68,4.29,,2026-08-04,0.75,-10.62,80.29,0.53,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,SUNDRMFAST,993.25,,,957.71,958.89,,32.33,35.31,58.38,auto,auto ancillaries,22.55,-3.58,-0.03,-0.02,-0.03,-0.04,2.66,933.5,0.06,-4.67,2.19,3.31,,2026-08-04,4.14,-0.87,998.0,0.37,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MUKANDLTD,143.6,,,139.58,141.56,,0.94,3.43,51.02,metals & mining,steel - medium / small,22.98,-0.52,0.06,-0.01,0.06,-0.02,0.77,139.5,0.71,-3.26,3.34,3.28,,2026-08-04,2.8,-1.63,144.5,0.27,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,KOPRAN,190.27,,,198.66,203.76,,12.17,35.77,53.27,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.98,-0.88,0.41,0.21,0.41,0.2,1.63,197.99,1.29,-3.18,4.15,3.18,,2026-08-04,0.64,-9.47,204.0,0.07,9.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,NGLFINE,3292.8,,,3103.81,3349.19,,37.71,42.34,55.93,healthcare,pharmaceuticals - indian - bulk drugs,12.77,2.13,0.95,1.09,0.95,1.08,1.54,3177.5,3.95,-6.9,4.75,3.01,,2026-08-04,6.87,-4.32,3448.2,0.37,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,MASFIN,317.65,,,313.75,322.85,,13.28,14.62,48.8,financials,finance & investments,13.04,-1.66,-0.03,0.01,-0.03,-0.01,1.0,315.15,1.45,-4.61,2.99,2.98,,2026-08-04,3.74,-3.71,330.2,0.83,4.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,STEELCAS,325.9,,,300.88,322.02,,34.82,36.41,56.7,industrials,castings & forgings,33.31,0.54,0.57,0.44,0.57,0.42,1.76,306.05,3.51,-6.09,3.58,2.94,,2026-08-04,7.3,-4.06,334.2,0.21,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,RADICO,4459.1,,,4130.11,4168.89,,65.0,84.84,60.56,fmcg,breweries & distilleries,42.17,-2.06,0.29,0.23,0.29,0.22,0.77,4117.7,0.47,-3.44,2.23,2.74,,2026-08-04,8.31,-1.67,4494.4,1.5,11.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-04T06:36:53.497,BAJAJFINSV,2096.0,,,1881.07,1944.93,,26.73,32.96,58.58,financials,finance & investments,19.55,-0.99,-0.1,-0.13,-0.1,-0.14,1.49,1885.0,1.7,-3.96,2.08,2.72,,2026-08-04,9.57,-1.08,2096.0,0.58,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,TBOTEK,1615.9,,,1437.95,1600.45,,51.99,61.89,49.47,i.t,travel agencies,25.94,-2.16,-0.03,-0.09,-0.03,-0.15,5.86,1435.1,5.65,-8.08,3.36,8.51,,2026-08-03,10.43,-3.19,1677.6,1.02,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,VAIBHAVGBL,265.7,,,253.62,276.36,,12.14,16.68,57.77,consumer discretionary,diamond cutting / jewellery,34.49,1.12,0.11,-0.02,0.11,-0.07,4.82,252.8,4.48,-8.79,4.47,7.88,,2026-08-03,6.53,-1.07,282.3,1.41,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,CAPLIPOINT,2566.1,,,2553.78,2689.02,,28.67,29.83,48.54,healthcare,pharmaceuticals - indian - formulations,43.45,-6.07,0.4,0.3,0.4,0.23,6.13,2470.0,2.65,-8.42,4.04,7.64,,2026-08-03,2.04,-4.79,2675.0,1.99,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,GRWRHITECH,7182.0,,,6849.14,7470.86,,38.55,49.12,55.6,industrials,packaging,26.02,-3.28,1.25,0.97,1.25,0.9,2.73,6970.0,4.54,-6.51,3.26,7.54,,2026-08-03,1.24,-5.64,7249.0,1.02,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,MUNJALAU,103.68,,,101.99,107.81,,-864.0,25.21,51.04,auto,auto ancillaries,45.1,-2.54,0.38,0.16,0.38,0.11,4.27,100.6,2.85,-8.49,4.3,7.03,,2026-08-03,0.1,-4.26,106.1,0.71,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,MANBA,137.29,,,136.65,156.09,,13.0,13.94,59.53,financials,finance & investments,37.9,0.16,0.03,0.03,0.03,-0.03,6.07,138.0,7.11,-6.95,3.61,6.84,,2026-08-03,5.21,-9.75,154.0,15.58,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,MANORAMA,1633.0,,,1566.97,1750.83,,46.44,42.29,52.07,fmcg,food - processing - indian,23.78,-0.21,0.4,0.24,0.4,0.18,4.22,1591.7,5.87,-6.81,3.11,6.2,,2026-08-03,0.73,-3.43,1674.0,1.7,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,SAILIFE,1333.4,,,1253.54,1320.46,,67.62,79.18,50.49,healthcare,pharmaceuticals - indian - bulk drugs & formln,22.13,-3.19,0.49,0.37,0.49,0.32,3.85,1239.3,2.67,-6.35,2.91,5.81,,2026-08-03,4.9,-1.11,1350.0,0.78,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-03T23:55:58.76,AETHER,1509.5,,,1476.77,1483.43,,79.11,86.64,59.09,chemicals,chemicals,42.58,-5.23,0.41,0.94,0.41,0.87,4.2,1420.4,0.23,-7.43,3.61,5.71,,2026-08-03,9.07,-2.36,1614.4,0.53,19.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
